,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time
0,10,3,rw,LF,imams,0.301,0.653968253968254,49.665222899988294,51.236046199977864,z,1.57082329998957
1,10,89,rw,HF,geweest,4.3568,0.7779138321995465,52.78084129997296,54.76942939998116,m,1.9885881000082009
2,10,73,rw,HF,gemaakt,4.0844,0.8008390022675737,56.313786899962,57.63981869997224,z,1.3260318000102416
3,10,193,nw,NW,nef,0.0,0.42587301587301585,59.178713399975095,60.33551910001552,m,1.1568057000404224
4,10,125,nw,NW,kabrieken,0.0,0.5446258503401361,61.877766699995846,63.3011708999984,m,1.423404200002551
5,10,17,rw,LF,clusters,0.6021,0.7289342403628117,64.84354919998441,66.52571489999536,z,1.6821657000109553
6,10,44,rw,LF,stram,0.8451,0.5876190476190476,68.07560849998845,69.30170549999457,m,1.2260970000061207
7,10,10,rw,LF,sikkels,0.301,0.7240136054421769,70.84110829996644,72.0887144000153,z,1.2476061000488698
8,10,94,rw,HF,gedaan,4.5868,0.6245578231292517,73.64021149999462,75.01631549996091,z,1.3761039999662898
9,10,51,rw,HF,plan,3.7972,0.3517687074829932,76.5562739999732,77.84158700000262,z,1.2853130000294186
10,10,179,nw,NW,monen,0.0,0.47888888888888886,79.38894189998973,80.69307789998129,m,1.3041359999915585
11,10,42,rw,LF,lome,0.8451,0.4866893424036281,82.2378408999648,83.34984779998194,m,1.1120069000171497
12,10,162,nw,NW,gebeikt,0.0,0.8473469387755102,84.88665739999851,86.36875359999249,m,1.4820961999939755
13,10,20,rw,LF,schoffels,0.6021,0.7928571428571428,87.91871160001028,89.0606839999673,z,1.1419723999570124
14,10,12,rw,LF,barse,0.4771,0.5087755102040816,90.60178999998607,91.78968310001073,m,1.1878931000246666
15,10,88,rw,HF,werd,4.3552,0.4824263038548753,93.33383339998545,94.4012769999681,z,1.0674435999826528
16,10,57,rw,HF,reden,3.8548,0.4158049886621315,95.9497468000045,97.24680129997432,z,1.2970544999698177
17,10,143,nw,NW,rakot,0.0,0.6866439909297052,98.79847019998124,100.00606129999505,m,1.2075911000138149
18,10,142,nw,NW,gardien,0.0,0.5500680272108843,101.54766579996794,102.65483239997411,m,1.1071666000061668
19,10,43,rw,LF,stengels,0.8451,0.7586621315192744,104.19677679997403,105.24643070000457,z,1.0496539000305347
20,10,163,nw,NW,plond,0.0,0.5671655328798186,106.79582659999141,108.10783639998408,m,1.3120097999926656
21,10,116,nw,NW,plenk,0.0,0.45687074829931973,109.64503770001465,110.52684509998653,m,0.8818073999718763
22,10,104,nw,NW,goont,0.0,0.6195918367346939,112.07749449997209,113.13641350000398,m,1.0589190000318922
23,10,7,rw,LF,rafel,0.301,0.574421768707483,114.67663239996182,115.77713689999655,z,1.1005045000347309
24,10,95,rw,HF,dood,4.6374,0.5565986394557824,117.32578109996393,118.37389499996789,z,1.0481139000039548
25,10,16,rw,LF,snert,0.4771,0.6224489795918368,119.92487589997472,121.01871739997296,z,1.0938414999982342
26,10,90,rw,HF,wist,4.4149,0.5760997732426304,122.55730079999194,123.53391769999871,z,0.9766169000067748
27,10,1,rw,LF,buidels,0.301,0.7648752834467121,125.07298860000446,126.1017950999667,z,1.0288064999622293
28,10,101,nw,NW,millag,0.0,0.5752380952380952,127.63948650000384,128.78577319998294,m,1.1462866999791004
29,10,26,rw,LF,beitels,0.699,0.7305895691609977,130.338016099995,131.66653399995994,z,1.328517899964936
30,10,62,rw,HF,gaf,3.923,0.5007256235827664,133.20420380000724,134.36781660001725,z,1.1636128000100143
31,10,59,rw,HF,redden,3.8783,0.36324263038548754,135.91935879999073,136.73060529999202,z,0.811246500001289
32,10,176,nw,NW,kwarp,0.0,0.5111791383219955,138.26869180001086,139.33527869998943,m,1.0665868999785744
33,10,134,nw,NW,vrijk,0.0,0.6648299319727892,140.8845025000046,142.18696839996846,m,1.3024658999638632
34,10,178,nw,NW,gimmel,0.0,0.4918140589569161,143.7337472999934,144.9703848999925,m,1.236637599999085
35,10,85,rw,HF,zag,4.3048,0.4990476190476191,146.5158400000073,147.65135790000204,z,1.1355178999947384
36,10,191,nw,NW,darboen,0.0,0.6270748299319728,149.19828459998826,150.47393699997338,m,1.2756523999851197
37,10,112,nw,NW,breent,0.0,0.6899546485260771,152.0139135000063,153.31861839996418,m,1.3047048999578692
38,10,119,nw,NW,doppel,0.0,0.39312925170068025,154.86311510001542,156.02292839996517,m,1.1598132999497466
39,10,22,rw,LF,spurt,0.6021,0.6664625850340136,157.56243180000456,159.09744579996914,z,1.5350139999645762
