,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time
0,13,53,rw,HF,boek,3.8196,0.4394104308390023,16.926255200000014,17.93245520000346,z,1.006200000003446
1,13,101,nw,NW,millag,0.0,0.5752380952380952,19.475616200012155,20.690805300022475,m,1.2151891000103205
2,13,135,nw,NW,vlorken,0.0,0.5808390022675737,22.24111180001637,23.41507400001865,m,1.1739622000022791
3,13,169,nw,NW,plin,0.0,0.31798185941043083,24.9568446999765,25.94497880002018,m,0.9881341000436805
4,13,51,rw,HF,plan,3.7972,0.3517687074829932,27.489513500011526,28.412758800026495,m,0.923245300014969
5,13,54,rw,HF,baby,3.8221,0.4545578231292517,29.955180199991446,31.356898199999705,z,1.401718000008259
6,13,90,rw,HF,wist,4.4149,0.5760997732426304,32.90401800000109,33.93981830001576,z,1.035800300014671
7,13,88,rw,HF,werd,4.3552,0.4824263038548753,35.486605199985206,36.44864690001123,z,0.9620417000260204
8,13,130,nw,NW,bralat,0.0,0.6841950113378685,37.985821400012355,39.431827099993825,m,1.4460056999814697
9,13,67,rw,HF,plaats,3.97,0.6054195011337868,40.98469509999268,42.36595230002422,z,1.3812572000315413
10,13,149,nw,NW,leumen,0.0,0.4952834467120181,43.91674620000413,45.09435959998518,m,1.1776133999810554
11,13,20,rw,LF,schoffels,0.6021,0.7928571428571428,46.63337519997731,47.81480350001948,z,1.181428300042171
12,13,92,rw,HF,moeder,4.4554,0.42403628117913833,49.36527529999148,50.33369230001699,z,0.9684170000255108
13,13,71,rw,HF,ogen,4.0572,0.4824036281179138,51.881002600013744,52.76326570002129,z,0.8822631000075489
14,13,2,rw,LF,hese,0.301,0.5392290249433107,54.31366490002256,56.44472269999096,m,2.131057799968403
15,13,93,rw,HF,dacht,4.5313,0.45145124716553287,57.99560429999838,59.149224299995694,z,1.1536199999973178
16,13,49,rw,LF,bonkte,0.9542,0.48356009070294786,60.69469560001744,61.65718789998209,z,0.9624922999646515
17,13,183,nw,NW,zuun,0.0,0.42925170068027213,63.19387610000558,64.30569160002051,m,1.1118155000149272
18,13,58,rw,HF,heren,3.8659,0.49170068027210884,65.84346820000792,66.79458159999922,z,0.9511133999913
19,13,41,rw,LF,zolders,0.7782,0.7216780045351474,68.34213549998822,69.38147760002175,z,1.0393421000335366
20,13,81,rw,HF,krijg,4.214,0.5826757369614513,70.92487240000628,71.89733880001586,z,0.97246640000958
21,13,12,rw,LF,barse,0.4771,0.5087755102040816,73.44068469997728,74.76220599998487,m,1.3215213000075892
22,13,148,nw,NW,kadders,0.0,0.5390929705215419,76.30618730001152,77.26503279997269,m,0.9588454999611713
23,13,120,nw,NW,verke,0.0,0.5179818594104308,78.80672609998146,80.11487869999837,m,1.3081526000169106
24,13,136,nw,NW,kumus,0.0,0.5232653061224489,81.65421399998013,83.2147197999875,m,1.5605058000073768
25,13,39,rw,LF,sjalot,0.7782,0.5982312925170068,84.75390609999886,85.84679819998564,z,1.0928920999867842
26,13,1,rw,LF,buidels,0.301,0.7648752834467121,87.38574579998385,88.5871371999965,z,1.2013914000126533
27,13,171,nw,NW,glijp,0.0,0.5592063492063492,90.13479929999448,91.76406959997257,m,1.6292702999780886
28,13,85,rw,HF,zag,4.3048,0.4990476190476191,93.30038829997648,94.53779099998064,z,1.2374027000041679
29,13,29,rw,LF,lanen,0.699,0.5240136054421769,96.08287629997358,97.53916179999942,z,1.4562855000258423
30,13,179,nw,NW,monen,0.0,0.47888888888888886,99.08174749999307,100.49430690001464,m,1.4125594000215642
31,13,194,nw,NW,pruit,0.0,0.6024716553287982,102.03126020001946,103.31196319998708,m,1.280702999967616
32,13,77,rw,HF,hen,4.158,0.3445124716553288,104.86325529997703,105.79038670001319,z,0.9271314000361599
33,13,167,nw,NW,pectars,0.0,0.6901814058956917,107.32899970002472,108.81471299997065,m,1.4857132999459282
34,13,175,nw,NW,nergen,0.0,0.5445804988662132,110.36134240002139,111.85704839997925,m,1.4957059999578632
35,13,79,rw,HF,uur,4.1832,0.33049886621315194,113.39384969999082,114.29757290001726,z,0.9037232000264339
36,13,66,rw,HF,wakker,3.9448,0.42934240362811793,115.84301060001599,116.84037099999841,z,0.9973603999824263
37,13,5,rw,LF,ponten,0.301,0.4158956916099773,118.39195879996987,119.81266350002261,m,1.4207047000527382
38,13,82,rw,HF,morgen,4.2678,0.4886621315192744,121.35768339998322,122.30835000000661,z,0.9506666000233963
39,13,61,rw,HF,los,3.9075,0.5018140589569161,123.85675650002668,124.75791949999984,z,0.9011629999731667
40,13,31,rw,LF,porde,0.699,0.3671201814058957,126.3059782999917,127.20338060002541,z,0.8974023000337183
41,13,99,rw,HF,bij,5.0328,0.3325170068027211,128.75527060002787,129.924855499994,z,1.1695848999661393
42,13,187,nw,NW,gevupt,0.0,0.6875963718820862,131.47165089996997,132.6635028999881,m,1.191852000018116
43,13,37,rw,LF,rogge,0.7782,0.4180952380952381,134.20355029997882,135.16027920000488,z,0.9567289000260644
44,13,112,nw,NW,breent,0.0,0.6899546485260771,136.7024672999978,138.15976509999018,m,1.457297799992375
45,13,7,rw,LF,rafel,0.301,0.574421768707483,139.70154320000438,141.0016322999727,z,1.300089099968318
46,13,60,rw,HF,vallen,3.8985,0.3511791383219955,142.5505145000061,143.52845589997014,z,0.9779413999640383
47,13,166,nw,NW,mijk,0.0,0.5443537414965987,145.06656990002375,146.51767759997165,m,1.4511076999478973
48,13,195,nw,NW,pirrel,0.0,0.36115646258503403,148.06557709997287,149.09860520000802,m,1.0330281000351533
